"AMPH","Amphastar Pharmaceuticals, Inc.","18.5","$851.44M","2014","Health Care","Major Pharmaceuticals",
"IBUY","Amplify Online Retail ETF","27.4141","n/a","n/a","n/a","n/a",
"ASYS","Amtech Systems, Inc.","4.16","$54.83M","n/a","Technology","Industrial Machinery/Components",
"AFSI","AmTrust Financial Services, Inc.","27.27","$4.65B","n/a","Finance","Property-Casualty Insurers",
"AMRS","Amyris, Inc.","0.746","$196.21M","2010","Basic Industries","Major Chemicals",
"ADI","Analog Devices, Inc.","72.505","$22.34B","n/a","Technology","Semiconductors",
"ALOG","Analogic Corporation","82.55","$1.03B","1972","Capital Goods","Electrical Products",
"AVXL","Anavex Life Sciences Corp.","4.11","$162.8M","n/a","Health Care","Biotechnology: Commercial Physical & Biological Resarch",
"ANCB","Anchor Bancorp","26.55","$66.51M","2011","Finance","Banks",
"ANDA","Andina Acquisition Corp. II","9.931","$52.73M","2015","Finance","Business Services",
"ANDAR","Andina Acquisition Corp. II","0.4","n/a","2015","Finance","Business Services",
"ANDAU","Andina Acquisition Corp. II","10.5","$17.33M","2015","Finance","Business Services",
"ANDAW","Andina Acquisition Corp. II","0.2699","n/a","2015","Finance","Business Services",
"ANGI","Angie&#39;s List, Inc.","8.13","$480.92M","2011","Consumer Services","Advertising",
"ANGO","AngioDynamics, Inc.","16.64","$618.08M","2004","Health Care","Medical/Dental Instruments",
"ANIP","ANI Pharmaceuticals, Inc.","61.27","$710.2M","n/a","Health Care","Major Pharmaceuticals",
"ANIK","Anika Therapeutics Inc.","50.11","$732.77M","n/a","Health Care","Medical/Dental Instruments",
"ANSS","ANSYS, Inc.","93.35","$8.08B","1996","Technology","Computer Software: Prepackaged Software",
"ATRS","Antares Pharma, Inc.","2.31","$358.25M","n/a","Health Care","Medical/Dental Instruments",
"ANTH","Anthera Pharmaceuticals, Inc.","0.71","$29.79M","2010","Health Care","Major Pharmaceuticals",
"ABAC","Aoxin Tianli Group, Inc.","3.75","$29.96M","n/a","Consumer Non-Durables","Farming/Seeds/Milling",
"APOG","Apogee Enterprises, Inc.","55.07","$1.59B","n/a","Capital Goods","Auto Parts:O.E.M.",
"APOL","Apollo Education Group, Inc.","9.93","$1.09B","1994","Consumer Services","Other Consumer Services",
"APEN","Apollo Endosurgery, Inc.","17.25","$1.37M","n/a","n/a","n/a",
"AINV","Apollo Investment Corporation","5.94","$1.31B","2004","n/a","n/a",
"APPF","AppFolio, Inc.","23","$775.02M","2015","Technology","Computer Software: Prepackaged Software",
"AAPL","Apple Inc.","116.15","$619.35B","1980","Technology","Computer Manufacturing",
"ARCI","Appliance Recycling Centers of America, Inc.","1.11","$7.39M","n/a","Consumer Services","Home Furnishings",
"APDN","Applied DNA Sciences Inc","1.9","$50.07M","n/a","Consumer Services","Other Consumer Services",
"APDNW","Applied DNA Sciences Inc","0.505","n/a","n/a","Consumer Services","Other Consumer Services",
"AGTC","Applied Genetic Technologies Corporation","9.55","$172.55M","2014","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",
"AMAT","Applied Materials, Inc.","31.94","$34.39B","1972","Technology","Semiconductors",
"AMCC","Applied Micro Circuits Corporation","8.4","$736.19M","1997","Technology","Semiconductors",
"AAOI","Applied Optoelectronics, Inc.","23.1","$397.33M","2013","Technology","Semiconductors",
"AREX","Approach Resources Inc.","3.48","$146.05M","2007","Energy","Oil & Gas Production",
"APTI","Apptio, Inc.","18.78","$719.5M","2016","Technology","Computer Software: Prepackaged Software",
"APRI","Apricus Biosciences, Inc.","1.37","$10.59M","n/a","Health Care","Major Pharmaceuticals",
"APVO","Aptevo Therapeutics Inc.","2.5","$50.62M","n/a","Health Care","Major Pharmaceuticals",
"APTO","Aptose Biosciences, Inc.","1.35","$18.58M","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",
"AQMS","Aqua Metals, Inc.","12.93","$231.17M","2015","Basic Industries","Metal Fabrications",
"AQXP","Aquinox Pharmaceuticals, Inc.","16.2","$379.46M","2014","Health Care","Major Pharmaceuticals",
"ARDM","Aradigm Corporation","1.6","$23.92M","1996","Health Care","Biotechnology: Electromedical & Electrotherapeutic Apparatus",
"ARLZ","Aralez Pharmaceuticals Inc.","4.6","$294.22M","n/a","Health Care","Major Pharmaceuticals",
"PETX","Aratana Therapeutics, Inc.","7.8","$288.95M","2013","Health Care","Major Pharmaceuticals",
"ABUS","Arbutus Biopharma Corporation","2.5","$137.1M","n/a","Health Care","Major Pharmaceuticals",
"ARCW","ARC Group Worldwide, Inc.","4.45","$83.64M","n/a","Capital Goods","Metal Fabrications",
"ABIO","ARCA biopharma, Inc.","2.71","$24.61M","n/a","Health Care","Biotechnology: In Vitro & In Vivo Diagnostic Substances",
"RKDA","Arcadia Biosciences, Inc.","0.9","$40.03M","2015","Basic Industries","Agricultural Chemicals",
"ARCB","ArcBest Corporation","28.9","$740.49M","n/a","Transportation","Trucking Freight/Courier Services",
"ACGL","Arch Capital Group Ltd.","85.89","$10.54B","n/a","Finance","Property-Casualty Insurers",
"ACGLP","Arch Capital Group Ltd.","21.5","n/a","n/a","Finance","Property-Casualty Insurers",
"APLP","Archrock Partners, L.P.","16.75","$1.1B","n/a","Public Utilities","Natural Gas Distribution",
"ACAT","Arctic Cat Inc.","15.53","$202.63M","1990","Capital Goods","Industrial Specialties",
"ARDX","Ardelyx, Inc.","14.55","$688.24M","2014","Health Care","Major Pharmaceuticals",
"ARNA","Arena Pharmaceuticals, Inc.","1.47","$357.67M","2000","Health Care","Major Pharmaceuticals",
"ARCC","Ares Capital Corporation","16.42","$5.16B","2004","n/a","n/a",
"AGII","Argo Group International Holdings, Ltd.","66.1","$1.98B","n/a","Finance","Specialty Insurers",
"AGIIL","Argo Group International Holdings, Ltd.","24.85","n/a","n/a","Finance","Specialty Insurers",
"ARGS","Argos Therapeutics, Inc.","4.95","$204.17M","2014","Health Care","Major Pharmaceuticals",
"ARIS","ARI Network Services, Inc.","5.4","$94.28M","1991","Technology","Computer Software: Programming, Data Processing",
"ARIA","ARIAD Pharmaceuticals, Inc.","12.37","$2.4B","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)",
"ARKR","Ark Restaurants Corp.","24.8","$84.9M","n/a","Consumer Services","Restaurants",
"ARTX","Arotech Corporation","3.5","$92.53M","1994","Miscellaneous","Industrial Machinery/Components",
"ARQL","ArQule, Inc.","1.25","$88.9M","1996","Health Care","Major Pharmaceuticals",
"ARRY","Array BioPharma Inc.","8.56","$1.44B","2000","Health Care","Major Pharmaceuticals",
"ARRS","ARRIS International plc","30.11","$5.71B","n/a","Technology","Radio And Television Broadcasting And Communications Equipment",
"DWAT","Arrow DWA Tactical ETF","10.335","$9.3M","n/a","n/a","n/a",
"AROW","Arrow Financial Corporation","40.55","$546.1M","n/a","Finance","Major Banks",
"ARWR","Arrowhead Pharmaceuticals, Inc.","1.68","$124.61M","n/a","Health Care","Major Pharmaceuticals",
"ARTNA","Artesian Resources Corporation","30.89","$281.57M","n/a","Public Utilities","Water Supply",
"ARTW","Art&#39;s-Way Manufacturing Co., Inc.","3.85","$15.82M","n/a","Capital Goods","Industrial Machinery/Components",
"ASBB","ASB Bancorp, Inc.","29.25","$110.78M","2011","Finance","Savings Institutions",
"ASNA","Ascena Retail Group, Inc.","6.24","$1.22B","n/a","Consumer Services","Clothing/Shoe/Accessory Stores",
"ASND","Ascendis Pharma A/S","19.91","$501.92M","2015","Health Care","Major Pharmaceuticals",
"ASCMA","Ascent Capital Group, Inc.","17.32","$213.41M","n/a","Consumer Services","Other Consumer Services",
"APWC","Asia Pacific Wire & Cable Corporation Limited","2.85","$39.39M","n/a","Basic Industries","Telecommunications Equipment",
"ASML","ASML Holding N.V.","110.45","$46.81B","1995","Technology","Industrial Machinery/Components",
"AZPN","Aspen Technology, Inc.","55.02","$4.25B","1994","Technology","EDP Services",
